0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
I have been eating chipotle for years and every time I go there I get good service and good food,good food,Keep up the good work chipotle your food will always have a place in my heart,The bowl is awesome the burrito is like a bowl all raped in a tortilla which is really good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One girl took her whole mask off in the kitchen and was loudly talking to everybody over the food about how she's going on break ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Few issues they need to work on with the line and the food quality,My food kind of sat there like it was tumbleweed in an ab,I ordered a burrito bowl ,My fiancé had the same issues with her chicken bowl,the chips were stale,The meat was a bit dry,the guacamole had eerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is the Chipotle when you want a BIG BOY burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered a normal salad bowl ,My bowl,And my chips were basically bottom,of the bag chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tip: It's a reasonable expectation when you eat here that the assembly of the food order you pick out will be very fast, I went with an order of chicken salad ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We had to get our own baskets and trays to carry to food to the table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keep an eye on how your food is prepared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 I thought chipotle is always good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The customer service has been pretty top notch and the food has tasted pretty great,burrito bowls covered in so much, sour cream that our bowls were soupy,I like watching the staff make my bowls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$17 for a chicken burrito with guac ,and a side of chips with queso,If your gonna charge people for chips could you at least serve them fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The quality of the food is good,and I shared my steak burrito/,my son had a chicken burrito with white,  The burrito can be messy so be careful, My daughter had the rice bowl, white rice with my hubby, rice,Prices aren't so bad,the taste was okay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regardless of how many times I order this location's food the food tastes weird,in general the food at this chipotle, tastes way different than a normal chipotle locati,mushy rice,twice my chicken has been under-cooked,brown/oxidized guacamole and the protein(chicken) i,So i put 1 star because the chips are fine, they taste as good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is honestly the worst chipotle in the US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love Chipotle's food ,I've placed a handful of orders and typically order a salad,Well the salad dressing is always missing,So I figured this time around when I order I'll give the store a phone call and kindly remind them to include the salad dressing with my order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I asked for extra lettuce ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We kind of inhaled our food ,Big ass burritos just aren't my thing,The tortilla-less burrito bowl was soooo,but will also be going back to try the steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you're looking for real Mexican food,you'll have better food ,The staff doesn't even scoop out an entire spoon and put it in bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they barely had any food items left,this place needs to get there food to human,.food was good,they had no white rice,no black beans ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered online and just wanted to tell them not to make my food yet as I wasn't going to be there yet,Even if there is nobody in line I will wait several minutes for my bowl and watch one person at a time leave with their food way before me,Called 3 times tonight at 7:52pm on March 4th no answer any of those times there no way that chipotle is packed at 8pm to the point where I was holding for over 3 minutes on the first,It's definitely time over quality with every order over there which I'm sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ordered a burrito bowl through door dash,Was half way through my bowl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Then I get my burrito ,Today I tried again this time getting a chicken bowl ,and once again disappointed as the chicken was fatty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It was finally time for me to order and I veggie burrito,Started with a gigantic burrito,quac is included with veggie burrito,white rice with pinto, beans,cheese,sour cream,and lettuce,corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On several occasions I've just left and went over to Piada where I got my food before I would have been able,The only redeeming quality is that I can walk there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and the cashier was ignoring when I asked for chips on purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When it comes burritos, The steak burrito with rice,pinto beans,and cheese wasn't terrible,lettuce,corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 They then sent him to a different chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered double meat and it was the smallest burrito i had ever seen, It was mostly rice ,and had very little ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the restaurant uses the freshest ingredients to prepare your food, All of these food items,there is a divider that separates the table areas from the line for food,which is good because you won't have someone awkwardly standing right next to your table while they wait for their food ,I've always felt that they get your food to you much,Another great thing about Chipotle is that the food here is very affordable,Burrito Bowl (burrito ingredients without the tortilla,and you just walk down and point to what you want in your quesadilla/taco/burrito/burrito, The burrito bowl is excellent,I made a separate category for the burrito itself, One of the best aspects of the franchise is that you can put anything and everything in your burrito, I've seen people opt to put a bit of all the available ingredients in their burritos before,For my burritos,but they will still usually give you a full scoop of each meat for your burrito: unless the person making your burrito is stingy, When you're ready to eat your burrito,because the burritos are so fat, They also aren't stingy about how much of the ingredients they stuff into your burrito, The only catch is that because of the massive size of the burritos, I've had completely open burritos,you can eat a massive burrito for like, The soft shell and crispy shell tacos are both great,but if you're getting your tacos to go,served in a bowl), bowl,or will opt for half steak and half chicken (because that's a way to bypass the extra,I've had some employees who stuff the tortilla with too much cheese and not enough meat, meat charge,I'll also ask them to include extra steak (which you will be charged extra, I think I've tried everything here except the salad,you can choose what ingredients to put in, The ingredients are all on display at different,the ingredients I use are,because I want the ingredients mixed,rather than have each ingredient separated into different,though the quality can change quite drastically based on who makes it, The quesadillas generally taste very good,which still tastes,,,,,,,,,,,,,,,,,,,
Love chipotle,The ingredients were not separated (sloppily mixed with the others),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I went back again today and got the steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you like spicy food,the bag didn't include any chips,How does a franchise like this forget chips that are in a pre-packaged,it has a nice mix between spicy and being flavorful (the lettuce tones down the spiciness a little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food,Most chipotle stores are relatively consistent,They also run out of ingredients often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrong kind of food in orders,giving me other people's orders and just now charging me twice for my food ,so ended up paying 26$ for my 18$ chipotle now driving all the way back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positively wretched food,Ordered two steak Keto bowls for takeout this evening,the whole bowl completely out of balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love this food buy don't underst,and the small amount of food given,I asked for more rice ,Today I ordered a Barbadoa bowl,No beans,"and said ""since I don't get beans"" ",and she dropped a small amount onto the meat,With mild tomatoes with  Sour cream and cheese,So she as putting my lid on I asked her why she skimped on the sour cream and cheese ,Not even a full scoop of sour cream and just a pinch of cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Also if you like plastic in your burrito this is the place to go,but don't care too much about the quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowl was pretty tasteless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantastic customer service and quantity of food,The serving size of ginormous and the food is hot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Poor excuse for a chipotle's,Not at all like a normal chipotle's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our rice was even undercooked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
after the servers put together her food,They gave a lot less food then at other,and the way the server put together her food was not appetizing looking,The kid who ate the food complained about the size portion,Overall the food was just ok,When I went to pay for my food,I'm not sure why the servers at this location are so stingy and slow at preparing the food,I also ordered a burrito,she did not receive the regular amount of rice,Her chicken was burnt,he complained that his black beans tasted funny,The topping sides that I wanted from the online menu were mild salsa,I had a coupon sent to me for a free meal with a purchase of any meal (excluding kids meal) and one coupon for free guac and chips with the purchase of any meal (excluding kids meal,I gave the coupon for free guac and chips to the cashier,I would get the guac and chips free,The manager took the coupon and and scanned it after entering into the cash register that I ordered guac and chips,so I did end up getting the guac and chips free,I ordered a Kid's Cheese Quesadilla with steak,and the server was about the put in a decent amount of steak into the quesadilla,but the server said that she could either have the sour cream or cheese,My sister also wanted to get sour cream with hers,lettuce,and his father tasted it ,and complained that it tasted not right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My food was ice cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stopped in to pick up dinner for a birthday celebration and one of the employees was rude throwing the food in the bowls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You'll literally stand there for 20 minutes while the person behind the counter makes someone's food who's isn't even there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food doesn't taste very fresh,The chicken I had in my fajita bowl tasted like it was 2 days old,I felt like the quality of the meat could been been fresher for a lunch,I feel like this Chipotle is just okay quality,Hoping for better quality on my next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A girl was chewing gum while preparing food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well for starters there service was super unprofessional and all their food was under seasoned,and tasted like nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typical good Chipotle food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was really bad,sloppily thrown in my bowl,I called to let them know my guacamole was brown ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  The combination of food was really good,chicken, I got the salad with black beans, Forgot the cheese,mild and medium sauces and sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've never gotten such little food,The taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered the burrito bowl with chicken ,I would come back and support them since chipotle is one of that great,and all the extra stuffs like rice ,The rice seems to be undercooked,When I picked it up and it seems like it's missing the items I requested on the bowl ,beans ,lettuce ,corns ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 When's finally my turn they make a store wide announcement that they are out of guacamole completely in addition to having to wait further for new batches of black beans,two if the salsa's,Several of the people that ordered on line were waiting for 20 minutes when they heard the new about the guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love my neighborhood Chipotle HOWEVER I am frustrated that they run out of salad dressing by evening, PLEASE figure this out so I can leave a great review and return to  being happy about eating your yummy salads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The seating is a bit strange at this location but it seemed most people just got their food to go,I personally do prefer the burrito ,00 it wasn't too bad for the burrito bowl,The chicken tasted fresh and I decided to try my first chipotle bowl,The calories at chipotle add up really fast if you get chips ,I wish that chipotle had a combo,and chips,deal where I could get a drink and chips with my meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am sorry chipotle but your food is gross,and your prices for the food are ridiculous,but when you spend $6 dollars on two tacos ,I am no chipotle fan,My biggest issue here is the quality of meat that chipotle claims is good,The chicken is always fatty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do I eat a salad with NO Dressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretty expensive for a burrito ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huge chipotle fan ,I don't get rice or beans so asked for fajita,and make my pitiful bowl,Meat is cold first off which is disgusting and I now don't even want to touch cold chicken ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Hot food,Chose to come to this chipotle because reviews on other,good quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the filling in my tacos were sparse,I order for pick up from this chipotle pretty regularly,When I received my order I was missing the chips to my chips ,including the chips that,I had accidentally ordered only a side of queso and not the side of chips ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This chipotle sucks,Find a different chipotle,I also don't like how they don't center things in the bowl (sour,all the salsa on the right) so it's hard,they also forgot the corn and medium salsa,2 weeks in a row now I ordered a salad (bc the dressing is literally the best thing in the world,I have now been looking forward to the salad dressing for 2 weeks bc they screwed it up last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love chipotle and enjoy their food,I'm fine with that as long as I get my food,They do not always provide me with the sides for my chips when I get the drive thru food ,I always get crunchy tacos ,and three different times they gave me soft tacos,and this time they didn't give me my guacamole ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love chipotle but for some reason the food here doesn't compare to other,The cilantro lime rice that all chipotle's have ,and are known for is just plain white rice or plain white,rice at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The guy making the burrito put several,I showed her my badge and she told me we had to get the same entree (burrito/burrito,I realized she didn't even put the burrito in the bag,bowl/bowl, different ingredients on that I did not ask for (even though I was st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They run out of food often as well,Always super over crowded there's always someone in life ordering 50 burritos,I hate this chipotle location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but I travel for this one because always a good quality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So I got a bowl which was way more food it seemed than an ordinary,and we had trouble finding a semi clean place to sit and eat once we had our food,I felt that our food was a bit expensive,Since the food was really good,The food was worth,My companion got a burrito,I went a new way for me as I have never been truly happy with their burritos, burrito,brown rice ,I got the brown rice,Also there are no clearly marked prices anywhere that I noticed, I will not begrudge them the higher price,They got chicken with black, beans,black beans ,and the works except salsa,with hot salsa, compared to similar places that also give you chips with your meal while here you pay extra,cheese ,and lettuce,Since there are now 2 locations fairly close to us I wanted to try them again as a couple of the places we do go have been slipping in service and or quality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worst location :( I ordered a salad ,The salad ended up being fine,I opened my bank app and saw I had been charged twice for one salad so I went back up to ask for this to be fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They have no clue how to wrap burritos ,Once they were out of lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food itself was more then delicious,I love chipotle,But the manager feels horrible about it makes it right away puts extra everything in our bowls ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 via doordash for a burrito bowl here that was barely half,There was also barely any rice,It was a simple order of brown rice,In the bowl there was barely any steak,I had asked for beans,No beans included in the dish,black beans,I had paid extra for additional steak,steak,cheese,and lettuce -- that's it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mita your typical chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i have been to many chipotle restuarants bescause my boys enjoy the burritos,Terrible customer service and I'm convinced the staff is pressured by management to make the smallest burritos possible,the burrito was no bigger than a egg roll,I only hope that the boys will be won over by Anna's tacqueria which is the next closest burrito place,I ordered extra white rice so I could try to get a normal,I get two half scoops half scoop of beef and black beans half scoop of corn ,and sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On several occasions I've just left and went over to Piada where I got my food before I would have been able,The only redeeming quality is that I can walk there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They barely filled my bowels and ordered extra steak and extra rice ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was fresh,The food line was running low,The food looked as though it had been sitting out for a while,ALL of the tables had food or drink spilled on them that hadn't been wiped down,This chipotle has really gone down hill,the chipotle was my regular,I came into chipotle today for lunch ,I am typically a guacamole LOVER,The lettuce was also brown,Highly disappointed in the quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This location the food is usually fresh,I always get the bowl with my favorite,My bowl was good,fresh and delicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not sure how but through it all the food is good,Will this location ever have guacamole,Numerous times we have placed a to go order or delivery and there is never any guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered a burrito bowl ,I ordered the chicken and before I could switch my mean she scraped dried and hard chicken from the bottom of the container onto my bowl,I try my best not to complain at a restaurant but I ate about two bites and threw the rest of my bowl away,I understand that a place is slow that time of the week but I still expect to receive the same quality as I would at other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the person rolling my burrito couldn't complete the task ,Multiple ingredients were not stocked on the line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I order steak with cheese and rice ,and this is what i get keep in mind im picky so i only asked for three ingredients and this is what i get 10 pieces of steak ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was extremely salty,Not sure if they had put too much salt or seasoning into the ingredients or what ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Made my burrito way too full,I appreciate the extra chicken an guac that was in my burrito,This chipotle only had forks as utensils which made eating the overflowing burrito even harder to eat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they'll acknowledge it and make everyone's food who walks in before you first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Got a bowl,Bowl just tasted like char,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order a burrito bowl from here ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
had to toss mine and my husband's barbacoa bowls,Good guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
She was very fast but extremely sloppy and threw my food in the bowl like she was scooping dog food,I asked for a bowl with white rice,The chicken looked,beans,a little guacamole,I said just a little guacamole,steak,The steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered tacos ,they literally just dump all of it in the bowl ,and they put it in a bowl ,the past few times I ordered double steak they didn't even put enough for a single,the quality freaking sucks everytime I order from there using the mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I never got my food,so basically I'll prob not have chipotle again until covid is over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food,whether gluten or food poisoning bacteria,I had a carnitas bowl with brown rice ,and salsa verde with a side of chips ,and guacamole,I went around the corner ,was delicious,I have no complaints about the freshness or quality of my meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four stars for good food,I ended up getting the bowl of barbacoa,salsas salad ,and cheese with peppers ,It was very delicious without me feeling stuffed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Was the food h,Spent the last 12 hours throwing up all the chipotle ,Will not be coming to chipotle agai,The steak was a bit undercooked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They barely filled my bowels and ordered extra steak and extra rice ,Only gave me a 1/4 bag of chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't go here unless you want your entire bowl covered in sour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Hot food was cold,and cold food was warm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was OK -- no problems there,at least have him stand away from where you make the food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I highly recommend stopping by and grabbing some food,My order burrito was treated with extreme,was an very kind and courteous manager and made sure my experience at chipotle was one to remember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My food was ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I guess getting a burrito bowl sans tortilla can reduce the calories by a whopping,And the price- just,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd time in a row I came in/waited in line for them to tell me (after making half my order) that they are out of ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"They've been ""out of brown rice"" twice in 3 weeks",Frequently they're too slow making chicken or steak ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipotle good food ,Line is out the door and they wait till you are up to the front to tell you they're out of the main ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I started at the beginning of the food selections line,by the end I knew I would not be eating that food,I really wanted to give them another chance after all the health issues cause who doesn't love a burrito bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this Chipotle was out of red salsa,sour cream,and corn,and is always out of ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employees were eating chips in front of customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My husband ordered a steak burrito ,and I ordered a chicken burrito bowl,My husband's steak burrito was cold like it just came out of the fridge,My CHICKEN burrito bowl was missing chicken,Forgetting meat in a dish is the reason people think fast food employees shouldn't make more than minimum,it's significantly better quality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shame on chipotle management to have Ridiculous store like this they should have new,ill make sure chipotle management know  about this,They don't have Guacamole or red peppers the chicken was served half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This restaurant is inconsistent on food quality ,I've found plastic in my food recently ,Questionable food safety practices,the open kitchen is usually a disaster and lots of cross contamination between POS and food line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown rice and chicken were pretty much out but instead of getting more for the burrito bowl I was ordering,So now I'm left with half a burrito bowl ,I have never had a problem when getting chipotle except at this one location,when I want chipotle again I will be willing,the employee scrapped up as much as she could then moved it around my bowl to try to make it look like more,Even when I asked for some more chicken she rolled her eyes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6PM on a Tuesday evening and the store was dirty with trash on the floor and food stuck to the tables,my food , My order was made wrong (they did offer to remake but declined since brown rice ,and white rice is still rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They have fantastic food,took his sweet time bagging my food ,I ordered my food 20 minutes before it said it would be ready,about 40min after I had ordered my food it came out of the kitchen,secondly what kind of kitchen manager allows his restaurant to run out of lettuce during lunch when lettuce is generally a vital part of the food served,I plan to walk out of my way to the food carts,the man who bagged up my tacos was having a full,"with the quick ""want black beans or pinto bleans",by the way we ran out of lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was made ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but this one served me raw chicken in my burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stopped by there today after leaving the gym to get a burrito &  after asking the food preparation girl to remind me again what the Barbacoa was,One of the food prep cooks wonders over,She then made the burrito incorrectly & ripped it,""" Meanwhile my burrito is wrapped ","picks up my burrito & says ""is this yours",Very poor atmosphere and negative paradigm in this chipotle location,"only to be asked ""what kind of meat do u",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The girl working last night barely gave me any food,I got 6 ingredients and the bowl wasn't even full like the other chipotle places,I finished my meal within 3 minutes and I ordered a bowl,I would expect to have less meat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
my food was ready,No rice,I ordered two bowls online because it's 2020 ,no corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
